Age,Gender,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
50,Female,96293,708,21552,Auto,Employed,3,Excellent,0.12939421,255942,4,Port Amy,FM,Egypt,0,1,Low
38,Non-binary,48069,670,17841,Home,Unemployed,17,Excellent,0.157519127,241550,2,Jacksonmouth,WA,Jordan,0,2,Low
35,Female,72433,792,5747,Business,Self-employed,4,Good,0.327373935,112076,0,Andreaborough,NC,Thailand,3,2,Low
22,Non-binary,65266,617,34746,Home,Unemployed,18,Poor,0.268944281,40215,4,Taylormouth,ND,Botswana,1,1,Low
40,Male,98578,663,8747,Auto,Self-employed,1,Good,0.514670637,37396,0,Jacobview,WV,Russian Federation,0,1,Low
39,Male,90227,770,18079,Business,Employed,3,Poor,0.518758954,163838,1,South Brianna,GU,Mali,0,1,Low
31,Non-binary,107081,740,18101,Business,Employed,5,Poor,0.108793817,25157,2,Gordonbury,AL,Ukraine,1,2,Low
45,Female,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,Penamouth,NH,Ethiopia,4,1,Low
19,Male,35817,731,44426,Home,Unemployed,1,Fair,0.505459747,20626,1,East Triciatown,WI,Angola,0,2,Low
36,Female,65104,699,44260,Home,Employed,2,Excellent,0.337761725,135458,4,Zacharyhaven,NM,Guatemala,2,2,Low
43,Male,109698,793,46500,Personal,Self-employed,11,Good,0.347851155,159076,,Tristanland,AZ,United States Minor Outlying Islands,1,1,Medium
23,Male,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,2,Lake Evelynstad,CA,Monaco,0,0,Low
22,Male,104766,764,16117,Business,Unemployed,17,Good,0.211525061,156630,3,New Shannonberg,KY,Gambia,3,1,Low
41,Female,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,0,Onealfurt,WA,Romania,4,0,Low
57,Male,116102,629,31831,Home,Employed,16,Excellent,0.516362513,228018,4,Smithborough,IA,Palestinian Territory,2,0,Medium
58,Non-binary,20947,776,38756,Personal,Unemployed,0,Good,0.218403224,91848,4,North Jeff,MT,Burundi,,1,Low
52,Male,32094,634,17612,Home,Self-employed,17,Good,0.549456544,114375,2,West Robert,IA,Singapore,2,0,Medium
55,Non-binary,108177,735,23616,Business,Employed,12,Fair,0.335284356,165613,2,Barneston,CA,Saint Pierre and Miquelon,1,2,Medium
41,Female,96591,722,7260,Home,Employed,12,Fair,0.584494809,102681,0,New Shelby,KS,Lesotho,2,2,Medium
53,Female,51236,718,31196,Personal,Self-employed,3,Poor,0.168630607,45029,1,Ellenbury,AS,Uruguay,,1,Low
36,Non-binary,101863,688,31132,Business,Employed,2,Poor,0.219403114,149141,3,Dunnhaven,MN,Saint Pierre and Miquelon,,2,Low
67,Male,107366,655,20154,Home,Employed,9,Poor,0.416617868,108345,4,New Valerie,GA,Monaco,4,1,Low
60,Female,74030,711,9459,Personal,Unemployed,19,Fair,0.160676888,96641,2,Lake Daniel,PW,Argentina,0,2,Low
39,Male,56116,636,16578,Personal,Employed,12,Excellent,0.313107732,197835,1,Johnnyberg,NY,South Africa,1,0,Medium
64,Male,101855,686,48584,Auto,Self-employed,9,Good,0.572524406,138039,3,East Keith,MS,El Salvador,3,1,Low
40,Male,89535,624,12990,Auto,Unemployed,6,Good,0.117355071,48187,,South Haileyview,NC,Suriname,3,2,Low
18,Non-binary,107329,735,22694,Home,Self-employed,1,Poor,0.23280902,71327,4,East Michael,MP,Netherlands Antilles,,1,Low
39,Non-binary,99622,720,23158,Auto,Employed,6,Good,0.419813928,65046,4,New Ashley,MN,El Salvador,2,1,Low
67,Male,110896,689,11503,Business,Self-employed,9,Excellent,0.106251703,121360,0,New Russellfurt,HI,Jersey,2,0,Medium
28,Female,64541,703,20017,Auto,Self-employed,1,Good,0.206311988,24856,4,Lake Keithtown,MO,Suriname,1,1,High
53,Non-binary,26613,771,6982,Auto,Employed,5,Fair,0.107198287,56108,2,Gouldbury,CO,Maldives,,0,Low
31,Female,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,4,Margaretchester,KY,Mayotte,3,2,Low
48,Male,107050,711,14382,Business,Self-employed,3,Excellent,0.502107966,142063,1,New Janet,CT,Samoa,1,1,Medium
35,Male,114877,699,46113,Business,Unemployed,6,Excellent,0.389906857,254153,0,Port Andreamouth,WV,Luxembourg,1,1,Medium
36,Female,44283,755,42326,Personal,Self-employed,7,Poor,0.116135309,228890,4,Turnerchester,NV,Micronesia,0,2,Low
59,Female,60385,743,30961,Business,Self-employed,19,Excellent,0.383779017,222830,4,Greenport,WV,Azerbaijan,2,0,Low
63,Female,40113,722,5044,Personal,Employed,1,Excellent,0.496244458,159493,3,New Martinberg,OR,Cyprus,,2,Low
43,Female,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,4,Frankport,NE,Austria,3,0,Low
39,Non-binary,31137,757,7326,Personal,Unemployed,9,Poor,0.441794267,68848,3,North Nathantown,MN,Indonesia,1,2,Medium
62,Female,115923,726,37406,Personal,Self-employed,17,Good,0.287310878,154178,1,West Elizabethside,MA,Peru,2,1,High
22,Female,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,1,New Kathryn,OR,Norway,0,1,Low
37,Non-binary,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,4,Andreaborough,NV,Bangladesh,3,0,Low
27,Non-binary,61232,643,46522,Business,Unemployed,6,Fair,0.151099075,285561,2,Villafurt,RI,Sao Tome and Principe,2,0,Low
34,Female,118679,731,40823,Auto,Employed,6,Poor,0.353951633,63853,,North Jeremy,AS,Georgia,0,2,Low
65,Male,89126,643,38741,Auto,Employed,0,Excellent,0.131449159,50589,1,New Julieside,AK,Martinique,4,0,High
66,Non-binary,104677,784,24588,Home,Unemployed,9,Fair,0.304836002,50584,4,South Karen,NM,Finland,4,0,Low
27,Non-binary,80523,604,13043,Auto,Employed,15,Excellent,0.112270249,201865,3,North Jessicachester,WY,Andorra,4,1,Low
43,Non-binary,87687,791,16663,Auto,Unemployed,9,Fair,0.315225662,291278,,Jordanville,CT,Solomon Islands,1,0,Medium
37,Female,20987,640,8042,Home,Employed,12,Fair,0.442812684,55772,3,Bradleyshire,NE,Falkland Islands (Malvinas),1,1,Low
24,Non-binary,61876,791,7070,Personal,Unemployed,0,Excellent,0.114673538,131369,2,East Stephentown,SD,Slovakia (Slovak Republic),,0,Low
31,Female,108454,716,33552,Personal,Unemployed,8,Poor,0.588002314,24976,,South Danielleview,VT,Chile,2,0,High
26,Male,28583,611,29949,Personal,Employed,19,Excellent,0.200143793,139629,3,West Ashleyberg,KS,Libyan Arab Jamahiriya,2,0,Medium
61,Non-binary,88056,684,9746,Personal,Employed,15,Good,0.361356668,48339,,Meganfurt,NE,Comoros,,0,Low
21,Male,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,3,Martinezmouth,PA,Costa Rica,0,2,Low
52,Non-binary,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,Victoriamouth,MN,Western Sahara,2,1,Low
27,Female,102789,742,10729,Business,Employed,17,Good,0.271307607,269293,0,Lauratown,AL,Vanuatu,1,0,Medium
18,Non-binary,27313,786,24399,Auto,Self-employed,10,Excellent,0.15104681,284643,4,Traceyshire,FL,North Macedonia,,2,Low
63,Female,101844,688,9667,Home,Employed,1,Excellent,0.251662122,61882,,West Robin,IL,Somalia,4,2,Low
47,Non-binary,28673,699,19540,Auto,Unemployed,19,Fair,0.408040672,255563,0,North Bonnie,MI,Mali,1,2,Medium
22,Female,35973,663,19492,Auto,Unemployed,2,Good,0.432494288,82006,3,Hartmanmouth,VI,Suriname,0,0,Medium
41,Male,62011,747,15722,Business,Employed,3,Poor,0.176553915,259195,2,Garrettton,MD,Romania,3,0,Medium
54,Male,114486,704,32353,Auto,Self-employed,7,Poor,0.400318279,222630,1,Jarviston,KY,Saint Pierre and Miquelon,1,1,Low
34,Female,42064,760,39482,Personal,Employed,0,Excellent,0.201900219,243318,0,Krystalberg,PA,Lesotho,3,2,Low
60,Female,80883,699,46731,Auto,Employed,12,Excellent,0.561233428,200074,3,East Sherrifurt,GU,British Indian Ocean Territory (Chagos Archipelago),,2,Medium
43,Female,31231,712,48935,Personal,Employed,8,Good,0.10750652,277314,2,South Kent,CT,Pakistan,3,0,Medium
47,Male,85651,799,17157,Auto,Unemployed,2,Fair,0.541920866,200136,3,Matthewshire,RI,Grenada,3,0,Medium
45,Male,85839,686,29177,Business,Self-employed,11,Excellent,0.260055213,114053,0,Port Vickie,LA,New Caledonia,4,0,Low
20,Non-binary,109590,625,41449,Personal,Self-employed,16,Fair,0.519828253,114922,1,Annettemouth,PR,Cape Verde,4,2,Low
43,Non-binary,68960,675,25542,Personal,Employed,10,Good,0.436279996,60758,,East Nancy,AZ,Vanuatu,2,2,Medium
47,Non-binary,58217,658,15328,Business,Unemployed,11,Poor,0.525407258,169695,0,East Nicholas,NH,Angola,0,0,Medium
49,Non-binary,105916,750,6324,Personal,Unemployed,17,Poor,0.269984459,89195,2,New Phillip,SD,Peru,1,1,High
35,Non-binary,111627,630,39992,Home,Employed,14,Poor,0.394882648,200110,1,Johnsonborough,NC,Costa Rica,,0,Medium
62,Non-binary,74850,650,17324,Personal,Self-employed,14,Excellent,0.191276675,151244,0,New Catherineton,OR,Marshall Islands,0,2,Low
40,Male,90179,693,32825,Personal,Self-employed,5,Good,0.584147345,129600,3,Brownville,IL,Wallis and Futuna,4,1,Low
53,Non-binary,117507,685,45544,Auto,Self-employed,11,Good,0.375782652,228273,0,Smithtown,ME,Moldova,,1,Low
31,Male,34002,738,23618,Home,Unemployed,6,Fair,0.17305568,269695,3,Davismouth,AL,Peru,2,1,Low
33,Non-binary,74333,693,47328,Personal,Unemployed,5,Poor,0.522094083,111726,,Port Mandyland,CA,Italy,1,0,Low
58,Male,109067,790,35949,Home,Self-employed,14,Poor,0.398211352,206088,,Marieside,NV,Zambia,1,0,Medium
47,Female,54022,775,9445,Business,Employed,12,Fair,0.244654442,177570,1,Reedberg,MT,Thailand,,1,Low
24,Non-binary,67278,742,13704,Auto,Self-employed,2,Excellent,0.499235055,171149,,Lake Christina,VT,French Southern Territories,,2,Medium
48,Male,37540,673,34317,Home,Employed,7,Poor,0.505902726,32715,4,New Sara,NE,Morocco,4,1,Medium
55,Non-binary,98283,650,42997,Auto,Unemployed,17,Fair,0.486638679,178174,4,East John,ID,Argentina,0,0,Low
65,Male,27826,736,43125,Auto,Employed,18,Good,0.253161468,118770,0,West David,FL,Iraq,3,1,Medium
54,Non-binary,62296,744,23778,Business,Self-employed,1,Excellent,0.203052807,173854,0,Port Sandra,DE,Bulgaria,1,0,High
37,Female,111551,632,10074,Business,Employed,6,Excellent,0.58737792,66221,,Tanyafort,OK,Saint Helena,2,0,Medium
30,Female,113925,611,48919,Business,Unemployed,19,Poor,0.470940166,28459,,Holmesmouth,RI,Malta,3,1,Low
30,Non-binary,114499,779,40584,Auto,Self-employed,6,Fair,0.284052614,76919,3,New Susan,AR,Mauritius,2,1,Low
19,Female,83471,793,8810,Personal,Self-employed,14,Excellent,0.511546796,145761,4,Baileystad,ND,Mauritania,1,0,Low
54,Female,54560,760,30826,Auto,Employed,11,Poor,0.568217248,21537,,Kennethberg,MP,Iceland,2,2,Low
19,Female,115381,727,40970,Auto,Self-employed,14,Good,0.451811592,291530,1,Hunterside,SC,Namibia,0,0,Low
43,Male,81683,693,10316,Home,Employed,2,Good,0.351319135,28304,3,Dyerfort,MS,Holy See (Vatican City State),0,0,Low
67,Male,104661,771,8751,Personal,Employed,7,Good,0.508536076,100251,0,East Matthewtown,ME,Western Sahara,,1,Medium
51,Non-binary,72299,676,37088,Auto,Unemployed,3,Fair,0.546674527,163332,,Kennethshire,HI,Anguilla,2,2,Medium
19,Male,106009,681,22351,Business,Self-employed,2,Excellent,0.587210053,162947,,North Daniel,AZ,Vietnam,4,0,Low
25,Non-binary,37330,797,28892,Personal,Unemployed,11,Excellent,0.45114276,247877,3,Keithberg,IL,Iraq,2,1,Medium
32,Female,99688,732,12429,Home,Unemployed,8,Poor,0.430234003,267072,0,Port Sarahton,MI,North Macedonia,3,2,Medium
60,Male,114018,636,28620,Business,Employed,1,Excellent,0.261044262,38980,3,West Kaylee,CO,Liberia,1,1,Medium
43,Female,88309,724,7848,Auto,Self-employed,10,Excellent,0.253430491,103243,4,Fergusonchester,DC,Germany,,2,Low
51,Non-binary,62262,606,6667,Personal,Unemployed,4,Good,0.545189542,268305,,New Paulside,TN,Qatar,1,1,Low
35,Female,39629,622,9537,Home,Unemployed,2,Fair,0.524358189,48636,1,Desireeville,DC,Sao Tome and Principe,4,0,Low
42,Female,35203,726,34541,Auto,Unemployed,5,Poor,0.556476416,252977,0,East Morgan,MH,Saint Martin,,1,Medium
66,Female,61291,639,7908,Personal,Unemployed,12,Poor,0.168999693,33810,1,Port David,WA,Mayotte,3,2,Low
46,Female,34284,775,26340,Personal,Self-employed,14,Fair,0.400353991,64156,4,New Melissamouth,NV,Wallis and Futuna,0,2,Medium
33,Male,115066,799,31359,Home,Self-employed,5,Excellent,0.228569153,142354,,North Brianbury,OK,Mexico,4,1,Low
28,Non-binary,98311,689,34763,Business,Employed,8,Excellent,0.388665461,216062,0,West Deanna,TN,India,3,2,Low
67,Male,63148,660,16704,Auto,Self-employed,0,Fair,0.334344621,40643,0,Kimberlychester,TX,Tajikistan,4,2,Low
27,Non-binary,114436,775,39216,Business,Employed,7,Excellent,0.102012992,158498,,Torresbury,FL,South Georgia and the South Sandwich Islands,2,1,Low
28,Male,94693,718,20928,Business,Unemployed,5,Fair,0.323849811,257028,2,Josephstad,MP,Georgia,4,2,Low
20,Female,102245,686,33967,Business,Unemployed,4,Fair,0.192680772,116854,,New Frank,CA,Rwanda,2,2,Medium
27,Male,88173,746,14800,Personal,Self-employed,8,Fair,0.538712246,289092,0,South Susanfurt,KY,Congo,1,1,Low
34,Non-binary,70807,745,39572,Business,Employed,18,Good,0.433975274,130451,3,South Audrey,MP,Saint Lucia,4,0,Low
66,Non-binary,22944,668,44767,Auto,Employed,7,Excellent,0.448401898,31159,0,Kevinbury,TX,Belgium,,2,Medium
38,Female,99314,656,17158,Personal,Self-employed,8,Excellent,0.123889568,162247,4,Diazview,GU,Yemen,2,1,Low
48,Male,25465,671,36672,Auto,Self-employed,8,Fair,0.255003057,237546,4,Markville,PA,Romania,1,1,Medium
40,Female,104766,688,35808,Business,Employed,15,Poor,0.320768316,198067,1,West Scottshire,MS,Falkland Islands (Malvinas),4,1,High
69,Female,118995,787,14398,Auto,Employed,15,Good,0.488273727,148047,0,Clarkborough,DE,Bermuda,3,1,Medium
31,Non-binary,63322,773,8074,Business,Employed,5,Fair,0.381467098,267802,3,Port Michaelmouth,ID,Romania,1,0,High
43,Female,34821,775,22889,Personal,Unemployed,18,Good,0.11872158,278194,0,Lake James,MD,Niue,3,2,High
18,Non-binary,99671,669,30460,Personal,Unemployed,18,Poor,0.433812231,25531,1,Jacquelineborough,MP,Greece,1,1,Medium
56,Male,73953,710,42364,Home,Self-employed,1,Good,0.555770849,152625,1,North Michael,NY,United States Minor Outlying Islands,2,2,Medium
18,Non-binary,71500,734,44400,Personal,Self-employed,14,Excellent,0.248104199,127985,4,Dustinbury,CT,Malawi,,0,Low
53,Female,88669,720,17468,Home,Self-employed,6,Excellent,0.575977216,199129,0,West Daniel,NE,Japan,4,1,Low
39,Non-binary,98886,695,30101,Auto,Employed,17,Excellent,0.441903682,200996,1,North Emily,KS,France,,2,Low
33,Non-binary,46953,627,23284,Business,Self-employed,7,Good,0.233152718,192563,3,West Michelle,VA,Monaco,0,1,Medium
41,Female,89852,676,27422,Home,Self-employed,9,Excellent,0.486273411,205004,1,Loweryland,VT,Tonga,4,0,Low
62,Male,87384,606,7297,Business,Self-employed,4,Good,0.450293387,232491,3,West Melanieton,MH,Taiwan,0,0,Low
32,Female,78360,608,47644,Home,Unemployed,1,Fair,0.112276192,271432,3,East Veronica,KY,Tajikistan,4,0,Low
58,Non-binary,64153,658,12202,Home,Employed,12,Fair,0.179217424,186472,,South Lancehaven,FM,Sri Lanka,0,2,Low
30,Non-binary,55059,756,7413,Personal,Employed,5,Good,0.494801779,29295,4,Walkerborough,WA,Tunisia,0,2,Low
59,Female,77564,612,12357,Business,Employed,1,Good,0.453394498,111458,0,Tylerport,DE,Marshall Islands,2,1,Medium
66,Male,64764,600,25486,Auto,Employed,17,Good,0.454795899,79556,1,New Latashabury,AZ,Reunion,1,0,Medium
32,Female,118580,636,13116,Home,Self-employed,7,Fair,0.120713199,267284,3,Savannahfurt,NC,Mauritius,0,1,Low
20,Female,41961,612,30866,Auto,Employed,11,Excellent,0.300160555,294593,0,Port Kentberg,CO,Brunei Darussalam,2,1,Low
35,Female,84766,622,20645,Business,Unemployed,6,Fair,0.507552882,77868,3,Blackwellchester,AR,Cote d'Ivoire,1,1,Medium
47,Female,100664,725,12939,Personal,Unemployed,2,Good,0.143515494,258171,,Port Kimberlyside,DC,Zambia,1,1,Low
36,Non-binary,44448,631,30975,Auto,Self-employed,18,Good,0.194279933,130657,2,South Matthewmouth,MP,Bhutan,3,1,High
61,Male,26518,759,21161,Personal,Employed,18,Poor,0.323939058,135490,1,East Timothy,CO,Zimbabwe,,0,Low
68,Female,113923,601,44653,Auto,Employed,1,Good,0.270090609,263788,2,New Lindsay,OH,Mayotte,2,2,High
22,Male,107732,750,39235,Business,Unemployed,19,Excellent,0.295658091,62184,4,Lake John,TN,Belarus,,0,Medium
29,Female,58785,644,19414,Home,Employed,3,Poor,0.210365536,71979,,Crossland,AS,Costa Rica,1,1,Low
28,Male,83969,671,44332,Business,Employed,16,Fair,0.45700939,88597,0,Julieborough,FM,United States of America,2,2,Low
66,Non-binary,111109,664,16734,Auto,Unemployed,0,Fair,0.201180173,246188,0,Port Frank,RI,Grenada,2,2,High
36,Female,52548,766,8458,Auto,Employed,11,Fair,0.240513252,62171,1,Simsfurt,WI,Falkland Islands (Malvinas),3,1,Low
40,Non-binary,48287,610,25909,Home,Unemployed,10,Excellent,0.226010987,119245,1,Stephanieland,AZ,Hong Kong,,2,Low
64,Male,93471,784,23013,Auto,Employed,8,Good,0.211859021,171215,2,North Christinestad,SD,Greenland,,1,Low
56,Non-binary,36600,724,26718,Business,Unemployed,17,Excellent,0.179215904,34116,4,Henrystad,PR,Libyan Arab Jamahiriya,4,0,Low
46,Male,37986,741,5217,Personal,Unemployed,11,Excellent,0.24326904,24766,4,North Stephanie,LA,Saint Lucia,2,2,Medium
66,Male,100520,722,23612,Business,Self-employed,12,Good,0.311233278,188023,0,Susanland,AR,Jersey,,2,Low
27,Female,55423,785,10956,Personal,Employed,7,Fair,0.3365854,73141,4,Port Lindseyfort,MO,Saint Kitts and Nevis,1,1,Medium
68,Non-binary,107151,754,39626,Business,Employed,13,Fair,0.302066201,147103,1,South Aprilbury,TX,Equatorial Guinea,2,2,Low
54,Male,23794,754,42272,Personal,Unemployed,5,Good,0.534887509,273159,4,Mannmouth,MT,Angola,3,2,High
25,Male,107852,729,31976,Auto,Unemployed,13,Excellent,0.269008414,35531,2,West Ryan,IL,Vietnam,,2,Medium
21,Female,38047,752,40762,Home,Unemployed,4,Poor,0.34395259,233376,,Aaronstad,NJ,Slovenia,2,0,Low
50,Female,43324,725,16412,Business,Self-employed,0,Fair,0.305512596,201283,,Wardhaven,ND,Tuvalu,2,1,Low
63,Male,117980,750,34913,Auto,Employed,14,Fair,0.31971399,79180,4,Higginsport,IN,Myanmar,4,0,Medium
19,Male,105783,649,34842,Home,Unemployed,14,Excellent,0.17893033,169091,4,North Lisa,PW,Serbia,3,0,High
66,Male,79893,641,8341,Personal,Employed,5,Excellent,0.18669614,213287,4,Amberfort,VI,Oman,4,0,Medium
66,Non-binary,21299,621,14131,Personal,Self-employed,17,Good,0.495208685,272640,2,Karenborough,AL,Niger,2,0,Low
45,Non-binary,37829,618,29082,Personal,Employed,1,Good,0.156127674,44527,,Meaganton,WA,Iran,4,2,Low
65,Male,82713,658,15995,Home,Employed,2,Excellent,0.333555884,77072,2,Erinchester,NJ,Andorra,1,2,Low
59,Male,37373,743,12455,Home,Employed,9,Poor,0.303733068,166261,2,Lake Kelsey,AL,Chile,1,1,Low
47,Male,52577,625,33975,Home,Employed,7,Poor,0.257840383,190682,2,Port Randalltown,VA,Korea,2,0,Low
38,Non-binary,52903,736,37009,Personal,Unemployed,19,Good,0.472939031,291166,2,West Carla,TX,Portugal,0,0,Medium
39,Female,36489,609,7961,Auto,Self-employed,9,Excellent,0.591416431,181869,2,South Lisa,ID,Mayotte,4,2,Low
53,Male,32328,688,24731,Home,Self-employed,15,Fair,0.588001653,294239,1,Noahfort,AL,Aruba,,0,Low
23,Male,83853,712,11358,Business,Employed,7,Good,0.587184535,166988,3,Lake Vincent,PR,Luxembourg,2,1,Low
25,Non-binary,33727,622,33180,Personal,Self-employed,6,Fair,0.354035688,233379,,Nguyenland,TX,Iceland,1,1,Low
41,Non-binary,56660,671,46052,Business,Self-employed,8,Good,0.172078055,87601,1,Cunninghammouth,MT,Singapore,,2,Low
66,Female,88993,705,36158,Personal,Unemployed,16,Fair,0.16903071,157492,,Nicholastown,MH,Nauru,2,0,Low
38,Non-binary,104614,648,40992,Home,Unemployed,2,Fair,0.321351019,166986,3,New Shawnborough,HI,Guatemala,3,1,High
32,Male,99211,631,44886,Personal,Unemployed,3,Fair,0.221320316,123213,1,New Dylan,SD,Rwanda,4,1,High
58,Non-binary,82583,768,30366,Home,Self-employed,9,Poor,0.576255603,119096,2,Lake Andrewmouth,PR,Algeria,4,0,Low
18,Male,84162,606,5015,Business,Self-employed,17,Poor,0.389069671,275773,1,Amandamouth,KS,Cambodia,1,2,Low
61,Female,25702,650,31654,Auto,Employed,15,Excellent,0.161250745,149488,0,South Jessicafurt,WA,Christmas Island,1,2,Low
21,Female,23582,736,19309,Personal,Unemployed,2,Good,0.464172349,229415,4,West Jennifer,OK,Romania,3,2,Low
27,Male,114452,668,36683,Auto,Self-employed,2,Poor,0.382632935,191602,4,Herrerastad,WA,French Guiana,0,2,Low
36,Male,35782,735,5371,Business,Employed,10,Good,0.406846919,172202,,South Matthewstad,IL,Vietnam,,1,Low
33,Male,22170,686,44357,Personal,Self-employed,18,Good,0.341188468,87943,4,South Justinshire,ID,Martinique,0,0,High
38,Male,54563,698,32788,Business,Self-employed,19,Poor,0.111037568,240903,1,Holmesville,SD,El Salvador,,0,Medium
56,Non-binary,35299,625,24860,Home,Employed,7,Poor,0.574404363,229939,3,Lake Stephanieborough,OR,Oman,0,1,Low
57,Female,59015,774,36334,Personal,Unemployed,16,Excellent,0.263724816,50529,3,Walkermouth,PW,Singapore,0,2,Low
31,Male,31480,721,45906,Auto,Unemployed,10,Fair,0.568742283,107560,,Port Elizabethtown,WV,Czech Republic,2,0,Low
48,Non-binary,66815,662,44872,Personal,Employed,13,Poor,0.393501878,95401,2,Schroedertown,ND,Saint Barthelemy,,0,Low
37,Non-binary,74337,630,17919,Auto,Employed,5,Fair,0.520813764,219321,4,Lindsaymouth,OK,Turkey,0,1,Low
23,Non-binary,47684,742,42901,Home,Employed,16,Fair,0.277608708,78032,4,Brownfurt,IL,Portugal,3,2,Low
47,Male,111352,688,15044,Auto,Self-employed,3,Excellent,0.290150955,283782,2,Thomaschester,ME,Sierra Leone,2,1,Low
48,Male,106151,626,34164,Auto,Unemployed,10,Good,0.599709538,22135,0,South Renee,SC,Kenya,2,2,Low
24,Female,102488,643,19631,Personal,Self-employed,9,Fair,0.269315748,210453,,East April,RI,Equatorial Guinea,2,0,Low
